category_url,product_name,price,rating,reviews,product_url,review_count,price_bucket,value_score,price_per_review
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,Tuya Smart WiFi Zigbee3.0 Temperature Humidity Sensor Indoor Hygrometer Thermometer Detector with LCD Display Remote Control Support Alexa Google Home,6.59,4.84,116 reviews,https://www.banggood.com/Tuya-Smart-WiFi-Zigbee3_0-Temperature-Humidity-Sensor-Indoor-Hygrometer-Thermometer-Detector-with-LCD-Display-Remote-Control-Support-Alexa-Google-Home-p-2002256.html?cur_warehouse=CN&ID=6296864&rmmds=,116,cheap,1.4570825394230282,0.056324786324786325
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,4Pcs SONOFF TRVZB Smart Zigbee3.0 Thermostatic Radiator Valve Intelligent Thermostat Temperature Controller APP&Voice Control Work with Alexa Google Home,96.99,5.0,45 reviews,https://www.banggood.com/4Pcs-SONOFF-TRVZB-Smart-Zigbee3_0-Thermostatic-Radiator-Valve-Intelligent-Thermostat-Temperature-Controller-APPandVoice-Control-Work-with-Alexa-Google-Home-p-2024825.html?cur_warehouse=CN&rmmds=,45,expensive,0.09102630576852351,2.108478260869565
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,SONOFF TRVZB Smart Zigbe Thermostatic Radiator Valve Intelligent Thermostat Temperature Controller APP&Voice Control Work with Alexa Google Home,24.99,4.96,83 reviews,https://www.banggood.com/SONOFF-TRVZB-Smart-Zigbe-Thermostatic-Radiator-Valve-Intelligent-Thermostat-Temperature-Controller-APPandVoice-Control-Work-with-Alexa-Google-Home-p-2004337.html?cur_warehouse=CN&rmmds=,83,mid,0.3757829851477917,0.2975
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,BlitzWolf® BW-SHP15 Zigbee 3.0 16A 3680W Smart Plug Wireless Power Socket Outlet EU Plug APP Remote Control / Voice Control / Multiple Timer Modes Compatible With Amazon Alexa / Google Assistant,9.99,4.96,336 reviews,https://www.banggood.com/BlitzWolf-BW-SHP15-Zigbee-3_0-16A-3680W-Smart-Plug-Wireless-Power-Socket-Outlet-EU-Plug-APP-Remote-Control-or-Voice-Control-or-Multiple-Timer-Modes-Compatible-With-Amazon-Alexa-or-Google-Assistant-p-1856492.html?cur_warehouse=CN&ID=557527&rmmds=,336,cheap,1.0790873804156518,0.029643916913946588
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,SONOFF SNZB-02D Zigbe LCD Smart Temperature Humidity Sensor APP Control Real-time Monitoring Work with ZB Bridge-P/ ZB Dongle/ NS Panel,11.99,4.9,69 reviews,https://www.banggood.com/SONOFF-SNZB-02D-Zigbe-LCD-Smart-Temperature-Humidity-Sensor-APP-Control-Real-time-Monitoring-Work-with-ZB-Bridge-P-or-ZB-Dongle-or-NS-Panel-p-1988248.html?cur_warehouse=CN&rmmds=,69,cheap,0.7630104455420651,0.1712857142857143
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,SONOFF ZB Dongle-E USB Dongle Wireless Zigbee3.0 Bridge Gateway Smart Home Interface Capture With Antenna Gateway Analyzer Base On TI EFR32MG21,19.99,4.97,79 reviews,https://www.banggood.com/SONOFF-ZB-Dongle-E-USB-Dongle-Wireless-Zigbee3_0-Bridge-Gateway-Smart-Home-Interface-Capture-With-Antenna-Gateway-Analyzer-Base-On-TI-EFR32MG21-p-2026966.html?cur_warehouse=CN&ID=6287830&rmmds=,79,mid,0.46783524935837323,0.24987499999999999
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,BlitzWolf® BW-SHP6 Pro 15A 3450W WiFi Smart Plug Wireless Power Socket Outlet Energy Monitoring No Hub Required App Remote Control Voice Control Works With Amazon Alexa and Google Assistant,11.99,4.98,2425 reviews,https://www.banggood.com/BlitzWolf-BW-SHP6-Pro-15A-3450W-WiFi-Smart-Plug-Wireless-Power-Socket-Outlet-Energy-Monitoring-No-Hub-Required-App-Remote-Control-Voice-Control-Works-With-Amazon-Alexa-and-Google-Assistant-p-1608132.html?cur_warehouse=CN&ID=531254&rmmds=,2425,cheap,1.0653877472480395,0.004942291838417148
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,BlitzWolf® BW-TRV16 WiFi Smart Thermostatic Radiator Valve Intelligent Thermostat Temperature Controller Programmable Set Schedules APP & Voice Control Work with Alexa Google Home,26.99,5.0,4 reviews,https://www.banggood.com/BlitzWolf-BW-TRV16-WiFi-Smart-Thermostatic-Radiator-Valve-Intelligent-Thermostat-Temperature-Controller-Programmable-Set-Schedules-APP-and-Voice-Control-Work-with-Alexa-Google-Home-p-2041704.html?cur_warehouse=CN&ID=557527&rmmds=,4,mid,0.24488469479192668,5.398
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,4Pcs SONOFF SNZB-02D LCD Smart Temperature Humidity Sensor APP Control Real-time Monitoring Work with ZB Bridge-P/ ZB Dongle/ NS Panel,45.99,5.0,12 reviews,https://www.banggood.com/4Pcs-SONOFF-SNZB-02D-LCD-Smart-Temperature-Humidity-Sensor-APP-Control-Real-time-Monitoring-Work-with-ZB-Bridge-P-or-ZB-Dongle-or-NS-Panel-p-2020353.html?cur_warehouse=CN&rmmds=,12,mid,0.16449117976650438,3.537692307692308
https://www.banggood.com/Wholesale-Smart-Remote-Control-c-11329.html?bid=80815,SONOFF ZB Bridge Pro Smart Home Zigbe 3.0 Bridge-P Remote Control ZigBe Wi-Fi Devices On APP Works With Alexa Hey Google,22.99,4.81,70 reviews,https://www.banggood.com/SONOFF-ZB-Bridge-Pro-Smart-Home-Zigbe-3_0-Bridge-P-Remote-Control-ZigBe-Wi-Fi-Devices-On-APP-Works-With-Alexa-Hey-Google-p-1997984.html?cur_warehouse=CN&rmmds=,70,mid,0.39463592331628167,0.32380281690140844
